T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
9606.235127,10462.63635,10533.91921,9207.686205,6382.967904,3105.951577,903.6621524,28.32905048,154.4121101,831.7947683,3441.125767,8492.42895,9606.235127,5511.363904,2440.255857
9049.090625,10149.64408,10618.59732,9709.530582,7037.27655,3538.312304,1036.372601,29.4472222,166.2368023,917.9500253,3782.204026,8833.16138,9049.090625,4839.782596,2099.103043
8430.31158,9718.003579,10556.152,10111.69567,7692.259981,4016.20447,1189.636465,30.6197262,179.0925335,1012.646221,4141.427298,9092.454275,8430.31158,4236.914923,1809.868075
7776.241482,9190.852465,10350.2787,10393.48208,8328.54,4538.954543,1366.268402,31.84981567,193.0742558,1116.551191,4515.877413,9259.407222,7776.241482,3702.066648,1564.718477
7110.782336,8594.189297,10012.92253,10539.45959,8923.877433,5103.821559,1569.301583,33.14097304,208.2852323,1230.339694,4901.628296,9326.841099,7110.782336,3231.812536,1356.790476
6454.051235,7954.348177,9562.916447,10541.31561,9454.347303,5705.468815,1801.940514,34.49692779,224.837613,1354.680879,5293.687684,9292.018573,6454.051235,2821.105034,1180.177185
5821.739999,7295.842048,9023.853555,10398.97042,9896.023854,6335.470723,2067.483131,35.92167585,242.8530201,1490.222392,5685.992332,9156.95383,5821.739999,2464.110012,1029.858831
5225.076587,6639.821387,8421.595608,10120.70828,10227.04914,6981.936717,2369.203019,37.41950051,262.4631378,1637.570682,6071.473647,8928.250241,5225.076587,2154.791943,901.6063443
4671.218145,6003.226763,7781.85089,9722.266735,10429.83807,7629.356454,2710.181689,38.99499499,283.8102964,1797.267097,6442.208246,8616.483793,4671.218145,1887.293536,791.8773782
4163.89346,5398.571889,7128.17547,9225.046736,10493.07898,8258.782007,3093.080912,40.65308691,307.0480421,1969.759472,6789.662293,8235.227279,4163.89346,1656.159617,697.7155974
3704.13894,4834.207023,6480.603567,8653.78394,10413.16218,8848.452923,3519.846725,42.39906464,332.3416782,2155.369056,7105.02957,7799.865577,3704.13894,1456.450396,616.6587201
3291.016113,4314.884147,5854.951526,8034.102688,10194.73603,9374.929052,3991.340825,44.2386058,359.8687627,2354.25285,7379.651312,7326.373016,3291.016113,1283.780713,546.6575643
2922.243714,3842.460693,5262.711965,7390.341932,9850.248342,9814.719073,4506.902787,46.17780799,389.8195423,2566.361761,7605.492391,6830.208103,2922.243714,1134.312821,486.0064655
2594.714396,3416.617547,4711.382447,6743.922598,9398.540114,10146.28556,5063.858637,48.22322196,422.3972997,2791.395379,7775.63554,6325.437467,2594.714396,1004.722325,433.2844247
2304.891794,3035.511708,4205.055317,6112.36902,8862.755935,10352.19109,5657.008604,50.38188735,457.818585,3028.754742,7884.745732,5824.144965,2304.891794,892.1505241,387.3058819
2049.098804,2696.323176,3745.116233,5508.954432,8267.958432,10421.05814,6278.148574,52.66137112,496.313299,3277.495035,7929.453401,5336.128362,2049.098804,794.1517286,347.0798468
1823.714969,2395.684411,3330.938881,4942.844818,7638.850085,10348.98753,6915.703852,55.06980907,538.1245873,3536.280887,7908.609705,4868.845867,1823.714969,708.640758,311.7761401
1625.302493,2129.998775,2960.506201,4419.575168,6997.922297,10140.14092,7554.575222,57.61595028,583.5085006,3803.347629,7823.379928,4427.552189,1625.302493,633.8435771,280.6975932
1450.679011,1895.663634,2630.924788,3941.697358,6364.209563,9806.342102,8176.308458,60.309205,632.733366,4076.472533,7677.160743,4015.557718,1450.679011,568.2525366,253.2571966
1296.952441,1689.216997,2338.824983,3509.471033,5752.677624,9365.752228,8759.689411,63.15969598,686.0788105,4352.960561,7475.329882,3634.550442,1296.952441,510.5867655,228.9593289
1161.530049,1507.426022,2080.655019,3121.510547,5174.159357,8840.865503,9281.828296,66.17831346,743.8343662,4629.649344,7224.858483,3284.932804,1161.530049,459.757705,207.384335
1042.110907,1347.333372,1852.885317,2775.339858,4635.68933,8256.195328,9719.723954,69.37677411,806.2975813,4902.937953,6933.832568,2966.140405,1042.110907,414.8394728,188.1758492
936.6684108,1206.274374,1652.141362,2467.837294,4141.074784,7636.041989,10052.19708,72.76768391,873.7715541,5168.843225,6610.938014,2676.922951,936.6684108,375.0435942,171.0303589
843.4274878,1081.874928,1475.282676,2195.571945,3691.562045,7002.657707,10261.96992,76.3646054,946.561797,5423.086025,6264.962094,2415.578636,843.4274878,339.6975854,155.6886028
760.8396455,972.0375051,1319.442927,1955.044386,3286.495104,6374.990482,10337.58076,80.18212926,1024.972339,5661.207748,5904.355557,2180.140741,760.8396455,308.2268766,141.9284653
687.5578672,874.9204341,1182.043302,1742.848998,2923.902876,5768.044047,10274.79142,84.23595046,1109.300968,5878.714653,5536.885087,1968.519959,687.5578672,280.1395954,129.559096
622.4125881,788.9140482,1060.788349,1555.775565,2600.98504,5192.777416,10077.20018,88.54294918,1199.833513,6071.244576,5169.390219,1778.608392,622.4125881,255.0137807,118.4160321
564.3894375,712.6160181,953.6510977,1390.866047,2314.490073,4656.403223,9755.911464,93.12127648,1296.837089,6234.747377,4807.644413,1608.352003,564.3894375,232.4866469,108.3571425
512.6090709,644.8073398,858.8522229,1245.439715,2060.993561,4162.927992,9328.303791,97.99044497,1400.552212,6365.667757,4456.309022,1455.798161,512.6090709,212.2455718,99.2592478
466.3091843,584.4298284,774.8365336,1117.096967,1837.091951,3713.795765,8816.12279,103.1714244,1511.183744,6461.117119,4118.962143,1319.124241,466.3091843,194.0205295,91.01529568
424.828658,530.565554,700.2489031,1003.709584,1639.528985,3308.531955,8243.249359,108.6867425,1628.890632,6519.020617,3798.181717,1196.652254,424.828658,177.5777317,83.53199497
387.5936962,482.4183881,633.910978,903.4029772,1465.271226,2945.322748,7633.520145,114.5605903,1753.774468,6538.226495,3495.662775,1086.853581,387.5936962,162.7142787,76.72782852
